order_id,order_date,ship_date,customer_id,customer_name,customer_segment,product_id,product_name,category,subcategory,quantity,sales,discount,profit,region,city,state,shipping_cost,payment_type
ORD-000001,2025-07-20 02:55:09,2025-07-21 02:55:09,CUST-5502,James Sims,Corporate,PROD-7646,Wearables Market,Technology,Wearables,25,9919.8,0.1,1952.55,Mountain,Santa Fe,NM,82.85,Credit
ORD-000002,2024-02-04 08:02:31,2024-02-14 08:02:31,CUST-8406,Andrea Riley,Small Business,PROD-4755,Networking Live,Technology,Networking,6,2947.65,0.14,1142.07,East,Philadelphia,PA,70.71,Cash
ORD-000003,2024-06-12 10:21:18,2024-06-22 10:21:18,CUST-1976,Christopher Jones,Online-Only,PROD-6252,Women's Clothing According,Apparel,Women's Clothing,33,47081.28,0.14,7114.65,Midwest,Detroit,MI,77.6,Debit
ORD-000004,2024-10-13 00:57:54,2024-10-15 00:57:54,CUST-6239,Eduardo Smith,Enterprise,PROD-9133,Lighting Same,Home & Kitchen,Lighting,43,41747.24,0.4,-12271.08,Midwest,Columbus,OH,11.31,BNPL
ORD-000005,2024-10-21 08:25:47,2024-10-22 08:25:47,CUST-7507,Tracy Smith,Corporate,PROD-2701,Cabinets Play,Furniture,Cabinets,31,10328.38,0.31,-776.44,Midwest,Chicago,IL,77.62,BNPL
ORD-000006,2024-12-13 18:41:49,2024-12-23 18:41:49,CUST-3875,Brandon Sandoval,Online-Only,PROD-6978,Footwear Stuff,Apparel,Footwear,3,3334.15,0.28,-148.88,South,Austin,TX,81.89,Credit
ORD-000007,2025-02-26 17:54:39,2025-03-02 17:54:39,CUST-7234,Dr. Craig Burnett,Online-Only,PROD-5685,Cookware Raise,Home & Kitchen,Cookware,37,23373.27,0.39,-6936.39,Mountain,Billings,MT,59.11,Mobile Pay
ORD-000008,2024-02-14 05:41:09,2024-02-21 05:41:09,CUST-3626,James Jones,Small Business,PROD-1849,Haircare Government,Health & Beauty,Haircare,6,7269.82,0.11,1115.14,West,Seattle,WA,88.74,Transfer
ORD-000009,2024-02-16 14:29:43,2024-02-21 14:29:43,CUST-6751,Justin Martin,Consumer,PROD-8411,Wearables Bar,Technology,Wearables,40,99263.65,0.12,17456.05,Mountain,Helena,MT,35.59,Credit
ORD-000010,2025-03-24 20:01:10,2025-03-29 20:01:10,CUST-1819,Stacie Mclean,Small Business,PROD-1849,Haircare Government,Health & Beauty,Haircare,43,43319.43,0.26,-789.11,Mountain,Santa Fe,NM,5.77,Transfer
ORD-000011,2024-11-21 09:21:49,2024-11-29 09:21:49,CUST-8295,Elijah Patel,Small Business,PROD-1662,Phones Drive,Technology,Phones,12,2617.99,0.11,730.87,Mountain,Helena,MT,18.09,Mobile Pay
ORD-000012,2024-11-21 00:45:22,2024-11-28 00:45:22,CUST-8685,Jonathan Nielsen,Online-Only,PROD-9998,Decor Sometimes,Home & Kitchen,Decor,18,14424.53,0.05,4447.67,Mountain,Billings,MT,86.66,PayPal
ORD-000013,2024-05-02 14:49:04,2024-05-12 14:49:04,CUST-2263,Michael Hammond,Consumer,PROD-8709,Footwear Next,Apparel,Footwear,17,16467.95,0.27,-1474.87,West,San Francisco,CA,15.93,BNPL
ORD-000014,2024-09-05 23:09:37,2024-09-07 23:09:37,CUST-2660,Daniel Gomez,Retailer,PROD-5596,Accessories Citizen,Apparel,Accessories,4,922.66,0.26,-8.26,Mountain,Albuquerque,NM,85.34,Credit
ORD-000015,2025-07-30 16:14:01,2025-08-03 16:14:01,CUST-7913,Timothy Lewis,Consumer,PROD-2971,Audio Alone,Technology,Audio,21,47490.12,0.07,14199.24,East,Washington,DC,65.93,PayPal
ORD-000016,2024-02-26 07:37:21,2024-02-27 07:37:21,CUST-3400,Jennifer Myers,Enterprise,PROD-8709,Footwear Next,Apparel,Footwear,6,5175.26,0.35,-1157.5,West,Las Vegas,NV,21.95,Mobile Pay
ORD-000017,2024-01-24 02:30:26,2024-02-02 02:30:26,CUST-3238,Jennifer Ross,Consumer,PROD-8315,Outerwear Develop,Apparel,Outerwear,25,61677.71,0.17,23540.71,Midwest,Kansas City,MO,61.58,Mobile Pay
ORD-000018,2024-07-25 13:54:29,2024-08-01 13:54:29,CUST-6983,Angela Walker,Online-Only,PROD-1574,Supplements Full,Health & Beauty,Supplements,35,88128.96,0.12,17049.21,Mountain,Colorado Springs,CO,119.17,Cash
ORD-000019,2025-05-05 07:23:46,2025-05-10 07:23:46,CUST-2551,Brittany Montgomery,Online-Only,PROD-9770,Fitness Equipment Place,Health & Beauty,Fitness Equipment,25,3579.14,0.33,217.64,West,Seattle,WA,23.76,Mobile Pay
ORD-000020,2024-02-19 12:48:21,2024-02-26 12:48:21,CUST-6014,Steve Williams,Enterprise,PROD-8411,Wearables Bar,Technology,Wearables,45,124361.56,0.02,32328.01,West,Sacramento,CA,111.45,Mobile Pay
ORD-000021,2025-08-23 01:18:35,2025-08-30 01:18:35,CUST-8312,Dylan Lang,Consumer,PROD-4930,Chairs Case,Furniture,Chairs,42,46902.75,0.27,4995.57,West,Los Angeles,CA,101.44,Mobile Pay
